CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
41655272,PAPI'S PIZZERIA,MANHATTAN,1422,ST NICHOLAS AVENUE,10033.0,Pizza,9.0,A,2017-02-28
41656133,MY PIE,MANHATTAN,696,LEXINGTON AVENUE,10022.0,Pizza,12.0,A,2016-09-22
41656246,NEW MARIOS PIZZERIA,BROOKLYN,373,WAVERLY AVENUE,11238.0,Pizza,7.0,A,2017-04-01
41657280,AENOS PIZZA,BRONX,1693,BOSTON ROAD,10460.0,Pizza,10.0,A,2016-02-13
41659069,FREDDY'S PIZZA,QUEENS,1266,150TH ST,11357.0,Pizza,4.0,A,2016-10-11
41660211,44TH STREET PIZZA,MANHATTAN,700,3 AVENUE,10017.0,Pizza,13.0,A,2016-02-23
41661062,PERCY'S PIZZA,MANHATTAN,190,BLEEKER STREET,10012.0,Pizza,4.0,A,2016-05-19
41661106,PIZZA CON VITAMINAS,QUEENS,4444,COLLEGE PT BLVD,11355.0,Pizza,12.0,A,2017-03-02
41662314,JUSTINOS PIZZERIA,STATEN ISLAND,89,GUYON AVENUE,10306.0,Pizza,9.0,A,2017-01-31
41663797,BARI'S PIZZA,BROOKLYN,8619,4 AVENUE,11209.0,Pizza,6.0,A,2016-10-24
41664706,DELICIAS PIZZA AND CHICKEN,QUEENS,14120,HOLLY AVENUE,11355.0,Pizza,13.0,A,2016-11-17
41670561,MARIO'S PIZZERIA,QUEENS,10212,101 AVENUE,11416.0,Pizza,9.0,A,2016-12-20
41671572,LEFRAK PIZZA,QUEENS,9717,57 AVENUE,11368.0,Pizza,7.0,A,2017-03-21
41672406,CHARLIE'S PIZZA,MANHATTAN,1501,ST NICHOLAS AVENUE,10033.0,Pizza,7.0,A,2016-05-18
41674167,FRANKS PIZZA,BROOKLYN,8025,FLATLANDS AVENUE,11236.0,Pizza,11.0,A,2017-03-01
41674445,VESUVIO PIZZA,BRONX,680,ALLERTON AVENUE,10467.0,Pizza,7.0,A,2016-04-05
41675367,J-M PIZZA II,BROOKLYN,1323,AVENUE U,11229.0,Pizza,0.0,A,2017-01-24
41676393,JOHNNY'S PIZZA RESTAURANT,BRONX,535,EAST  180 STREET,10457.0,Pizza,11.0,A,2016-12-01
41677059,GRIMALDI'S,BROOKLYN,1215,SURF AVENUE,11224.0,Pizza,2.0,A,2017-01-23
41679882,GREEN OLIVE PIZZA,QUEENS,27111,UNION TPKE,11040.0,Pizza,7.0,A,2016-08-02
